"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
scid_43a,scid_score_sheet,,text,"<div style=""margin-left: 5em;"">  Specify AMC:</div>",,,,,,," [scid_p42] = ""3""",y,,,,,
scid_p44,scid_score_sheet,,dropdown,"Substance-induced psychotic disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p45,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Substance-induced psychotic disorder (current)</div>","1, absent | 3, present",,,,,," [scid_p44] = ""3""",y,,,,,
scid_p45a,scid_score_sheet,,text,"<div style=""margin-left: 5em;""> Specify substance:</div>",,,,,,," [scid_p44] = ""3""",y,,,,,
scid_p46,scid_score_sheet,,dropdown,"Other specified psychotic disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p47,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other specified psychotic disorder (current)</div>","1, absent | 3, present",,,,,," [scid_p46] = ""3""",y,,,,,
scid_p48,scid_score_sheet,"<center> Substance use disorders </center>",dropdown,"Alcohol (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p49,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Alcohol (current)
</div>","1, absent | 3, present",,,,,," [scid_p48] = ""3""",y,,,,,
scid_p50,scid_score_sheet,,dropdown,"Sedative-Hypnotic-Anxiolytic (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p51,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Sedative-Hypnotic-Anxiolytic (current)</div>","1, absent | 3, present",,,,,," [scid_p50] = ""3""",y,,,,,
scid_p52,scid_score_sheet,,dropdown,"Cannabis (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p53,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Cannabis (current)</div>","1, absent | 3, present",,,,,," [scid_p52] = ""3""",y,,,,,
scid_p54,scid_score_sheet,,dropdown,"Stimulants/Cocaine (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p55,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Stimulants/Cocaine (current) </div>","1, absent | 3, present",,,,,," [scid_p54] = ""3""",y,,,,,
scid_p56,scid_score_sheet,,dropdown,"Opioids (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p57,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Opioids (current) </div>","1, absent | 3, present",,,,,," [scid_p56] = ""3""",y,,,,,
scid_p58,scid_score_sheet,,dropdown,"PCP (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p59,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  PCP (current)</div>","1, absent | 3, present",,,,,," [scid_p58] = ""3""",y,,,,,
scid_p60,scid_score_sheet,,dropdown,"Other Hallucinogens (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p61,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other Hallucinogens (current) </div>","1, absent | 3, present",,,,,," [scid_p60] = ""3""",y,,,,,
scid_p62,scid_score_sheet,,dropdown,"Inhalants (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p63,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Inhalants (current) </div>","1, absent | 3, present",,,,,," [scid_p62] = ""3""",y,,,,,
scid_p64,scid_score_sheet,,dropdown,"Other/unknown (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p65,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other/unknown (current)</div>","1, absent | 3, present",,,,,," [scid_p64] =  ""3""",y,,,,,
scid_p66,scid_score_sheet,"<center> Anxiety disorders </center>",dropdown,"Panic disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p67,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Panic disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p66] = ""3"" ",y,,,,,
scid_p68,scid_score_sheet,,dropdown,"Agoraphobia (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p69,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Agoraphobia (current)</div>","1, absent | 3, present",,,,,,"[scid_p68] = ""3"" ",y,,,,,
scid_p70,scid_score_sheet,,dropdown,"Social Anxiety Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p71,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Social Anxiety Disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p70] = '3'",y,,,,,
scid_p72,scid_score_sheet,,dropdown,"Specific Phobia (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p73,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Specific Phobia (current)</div>","1, absent | 3, present",,,,,,"[scid_p72] = ""3"" ",y,,,,,
scid_p74,scid_score_sheet,,dropdown,"Generalized Anxiety Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p75,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Generalized Anxiety Disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p74] = ""3"" ",y,,,,,
scid_p77,scid_score_sheet,,dropdown,"Other specified anxiety disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p78,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other specified anxiety disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p77] = ""3""",y,,,,,
scid_p79,scid_score_sheet,,dropdown,"Anxiety disorder due to another medical condition (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p80,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Anxiety disorder due to another medical condition (current) </div>","1, absent | 3, present",,,,,,"[scid_p79] = ""3""",y,,,,,
scid_p80a,scid_score_sheet,,text,"<div style=""margin-left: 5em;""> Specify AMC:</div>",,,,,,,"[scid_p79] = ""3""",y,,,,,
scid_p81,scid_score_sheet,,dropdown,"Substance/medication-induced anxiety disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p82,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Substance/medication-induced anxiety disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p81] = ""3""",y,,,,,
scid_p82a,scid_score_sheet,,text,"<div style=""margin-left: 5em;""> Specify substance:</div>",,,,,,,"[scid_p81] = ""3""",y,,,,,
scid_p83,scid_score_sheet,"<center> Obsessive-compulsive and related disorders </center>",dropdown,"Obsessive Compulsive Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p84,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">Obsessive Compulsive Disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p83] = ""3""",y,,,,,
scid_p93,scid_score_sheet,,dropdown,"Other specified obsessive compulsive disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p94,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other specified obsessive compulsive disorder (current)</div>","1, absent | 3, present",,,,,," [scid_p93] = ""3""",y,,,,,
scid_p95,scid_score_sheet,,dropdown,"Obsessive-compulsive and related disorder due to another medical condition (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p96,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Obsessive-compulsive and related disorder due to another medical condition (current)</div>","1, absent | 3, present",,,,,," [scid_p95] = ""3""",y,,,,,
scid_p96a,scid_score_sheet,,text,"<div style=""margin-left: 5em;""> Specify AMC</div>",,,,,,," [scid_p95] = ""3""",y,,,,,
scid_p97,scid_score_sheet,,dropdown,"Substance/Medication-Induced Obsessive-Compulsive and Related Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p98,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Substance/Medication-Induced Obsessive-Compulsive and Related Disorder (current)</div>","1, absent | 3, present",,,,,," [scid_p97] = ""3""",y,,,,,
scid_p98a,scid_score_sheet,,text,"<div style=""margin-left: 5em;"">  Specify substance:</div>",,,,,,," [scid_p97] = ""3""",y,,,,,
scid_p102,scid_score_sheet,"<center> Feeding and eating disorders </center>",dropdown,"Anorexia Nervosa (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p103,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Anorexia Nervosa (current)</div>","1, absent | 3, present",,,,,,"[scid_p102] = '3'",y,,,,,
scid_p104,scid_score_sheet,,dropdown,"Bulimia Nervosa (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p105,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">Bulimia Nervosa (current) </div>","1, absent | 3, present",,,,,,"[scid_p104] = '3'",y,,,,,
scid_p106,scid_score_sheet,,dropdown,"Binge Eating Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p107,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Binge Eating Disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p106] = ""3""",y,,,,,
scid_p109,scid_score_sheet,,dropdown,"Other specified Feeding or Eating Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p110,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other specified Feeding or Eating Disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p109] = '3'",y,,,,,
scid_p116,scid_score_sheet,"<center> Trauma and stressor-related disorders </center>",dropdown,"Acute Stress Disorder (current)","1, absent | 3, present",,,,,,,y,,,,,
scid_p117,scid_score_sheet,,dropdown,"Posttraumatic Stress Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p118,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;"">  Posttraumatic Stress Disorder (current) </div>","1, absent | 3, present",,,,,,"[scid_p117] = ""3""",y,,,,,
scid_p119,scid_score_sheet,,dropdown,"Adjustment Disorder (current)","1, absent | 3, present",,,,,,,y,,,,,
scid_p120,scid_score_sheet,,dropdown,"Other Specified Trauma and Stressor-Related Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p121,scid_score_sheet,,dropdown,"<div style=""margin-left: 5em;""> Other specified Trauma and Stressor-Related Disorder (current)</div>","1, absent | 3, present",,,,,,"[scid_p120] = ""3""",y,,,,,
scid_p122,scid_score_sheet,,dropdown,"Other DSM-5 Disorder (lifetime)","1, Absent | 2, Sub-threshold | 3, Threshold | 99, inadequate information",,,,,,,y,,,,,
scid_p123,scid_score_sheet,,text,"<div style=""margin-left: 5em;""> Specify other DSM-5 Disorder:</div>",,,,,,,"[scid_p122] = '3'",y,,,,,
